rank,time,records,disciplineName,fullName,participantCountryCode,year,time_seconds
13,0 days 00:03:47.570000,,Men 400 Freestyle,CIAMPI Matteo,ITA,2020,227.57
14,0 days 00:03:47.690000,,Men 400 Freestyle,SHORT Samuel,AUS,2020,227.69
15,0 days 00:03:48.110000,,Men 400 Freestyle,JI Xinjie,CHN,2020,228.11
16,0 days 00:03:48.280000,,Men 400 Freestyle,SHATALOV Daniil,RUS,2020,228.28
17,0 days 00:03:48.310000,,Men 400 Freestyle,NIKITIN Anton,RUS,2020,228.31
18,0 days 00:03:48.380000,,Men 400 Freestyle,GROTHE Zane,USA,2020,228.38
19,0 days 00:03:48.420000,,Men 400 Freestyle,LEE Hojoon,KOR,2020,228.42
20,0 days 00:03:48.510000,,Men 400 Freestyle,SMITH Kieran,USA,2020,228.51
21,0 days 00:03:48.590000,,Men 400 Freestyle,DEAN Tom,GBR,2020,228.59
22,0 days 00:03:48.620000,,Men 400 Freestyle,ELKAMASH Marwan,EGY,2020,228.62
23,0 days 00:03:48.780000,,Men 400 Freestyle,SMITH Kieran,USA,2020,228.78
24,0 days 00:03:48.870000,,Men 400 Freestyle,MCLOUGHLIN Jack Alan,AUS,2020,228.87
24,0 days 00:03:48.870000,,Men 400 Freestyle,ELKAMASH Marwan,EGY,2020,228.87
24,0 days 00:03:48.870000,,Men 400 Freestyle,JI Xinjie,CHN,2020,228.87
27,0 days 00:03:48.960000,,Men 400 Freestyle,JERVIS Daniel,GBR,2020,228.96
28,0 days 00:03:48.970000,,Men 400 Freestyle,WELLBROCK Florian,GER,2020,228.97
29,0 days 00:03:49.010000,,Men 400 Freestyle,NAKAJIMA Ryo,JPN,2020,229.01
30,0 days 00:03:49.270000,,Men 400 Freestyle,ENGLEZAKIS Konstantinos,GRE,2020,229.27
31,0 days 00:03:49.320000,,Men 400 Freestyle,WINNINGTON Elijah,AUS,2020,229.32
32,0 days 00:03:49.340000,,Men 400 Freestyle,CALLAN Patrick,USA,2020,229.34
33,0 days 00:03:49.440000,,Men 400 Freestyle,HOLLO Balazs,HUN,2020,229.44
34,0 days 00:03:49.520000,,Men 400 Freestyle,ZOMBORI Gabor,HUN,2020,229.52
34,0 days 00:03:49.520000,,Men 400 Freestyle,MATSUMOTO Katsuhiro,JPN,2020,229.52
36,0 days 00:03:49.620000,,Men 400 Freestyle,RAPSYS Danas,LTU,2020,229.62
37,0 days 00:03:49.760000,,Men 400 Freestyle,TAKEDA Shogo,JPN,2020,229.76
38,0 days 00:03:49.870000,,Men 400 Freestyle,NAKAJIMA Ryo,JPN,2020,229.87
39,0 days 00:03:49.890000,,Men 400 Freestyle,TINSLEY Mitchell,AUS,2020,229.89
40,0 days 00:03:49.900000,,Men 400 Freestyle,HAFNAOUI Ahmed,TUN,2020,229.9
41,0 days 00:03:49.930000,,Men 400 Freestyle,ZOMBORI Gabor,HUN,2020,229.93
42,0 days 00:03:49.950000,,Men 400 Freestyle,IPSEN Anton,DEN,2020,229.95
43,0 days 00:03:49.970000,,Men 400 Freestyle,NGUYEN Huy Hoang,VIE,2020,229.97
43,0 days 00:03:49.970000,,Men 400 Freestyle,MARTENS Lukas,GER,2020,229.97
45,0 days 00:03:49.980000,,Men 400 Freestyle,JERVIS Daniel,GBR,2020,229.98
46,0 days 00:03:49.990000,,Men 400 Freestyle,IMOTO Ikki,JPN,2020,229.99
47,0 days 00:03:50,,Men 400 Freestyle,ZHANG Ziyang,CHN,2020,230.0
48,0 days 00:03:50.160000,,Men 400 Freestyle,JI Xinjie,CHN,2020,230.16
49,0 days 00:03:50.170000,,Men 400 Freestyle,PALTRINIERI Gregorio,ITA,2020,230.17
50,0 days 00:03:50.220000,,Men 400 Freestyle,HAFNAOUI Ahmed,TUN,2020,230.22
1,0 days 00:14:33.100000,"[0, 256]",Men 1500 Freestyle,PALTRINIERI Gregorio,ITA,2020,873.1
2,0 days 00:14:41.630000,,Men 1500 Freestyle,ROMANCHUK Mykhailo,UKR,2020,881.63
3,0 days 00:14:45.020000,,Men 1500 Freestyle,PALTRINIERI Gregorio,ITA,2020,885.02
4,0 days 00:14:46.610000,,Men 1500 Freestyle,WELLBROCK Florian,GER,2020,886.61
5,0 days 00:14:49.980000,,Men 1500 Freestyle,ACERENZA Domenico,ITA,2020,889.98
6,0 days 00:14:53.380000,,Men 1500 Freestyle,ROMANCHUK Mykhailo,UKR,2020,893.38
7,0 days 00:14:57.900000,,Men 1500 Freestyle,JERVIS Daniel,GBR,2020,897.9
8,0 days 00:14:57.920000,,Men 1500 Freestyle,JERVIS Daniel,GBR,2020,897.92
9,0 days 00:15:00.080000,,Men 1500 Freestyle,AUBRY David,FRA,2020,900.08
10,0 days 00:15:00.450000,,Men 1500 Freestyle,IPSEN Anton,DEN,2020,900.45
11,0 days 00:15:00.590000,,Men 1500 Freestyle,OLIVIER Marc-Antoine,FRA,2020,900.59
12,0 days 00:15:01.160000,,Men 1500 Freestyle,MCLOUGHLIN Jack Alan,AUS,2020,901.16
13,0 days 00:15:01.260000,,Men 1500 Freestyle,JOLY Damien,FRA,2020,901.26
14,0 days 00:15:02.530000,,Men 1500 Freestyle,IPSEN Anton,DEN,2020,902.53
15,0 days 00:15:02.850000,,Men 1500 Freestyle,TAKEDA Shogo,JPN,2020,902.85
16,0 days 00:15:04,,Men 1500 Freestyle,NGUYEN Huy Hoang,VIE,2020,904.0
17,0 days 00:15:05.710000,,Men 1500 Freestyle,ROBINSON Tobias Patrick,GBR,2020,905.71
18,0 days 00:15:06.290000,,Men 1500 Freestyle,OLIVIER Marc-Antoine,FRA,2020,906.29
19,0 days 00:15:06.660000,,Men 1500 Freestyle,EGOROV Aleksandr,RUS,2020,906.66
20,0 days 00:15:06.810000,,Men 1500 Freestyle,TAKEDA Shogo,JPN,2020,906.81
21,0 days 00:15:07.440000,,Men 1500 Freestyle,TAKEDA Shogo,JPN,2020,907.44
22,0 days 00:15:07.530000,,Men 1500 Freestyle,MARTYNYCHEV Kirill,RUS,2020,907.53
23,0 days 00:15:07.920000,,Men 1500 Freestyle,ACERENZA Domenico,ITA,2020,907.92
24,0 days 00:15:08.170000,,Men 1500 Freestyle,YOSHIDA Atsuya,JPN,2020,908.17
25,0 days 00:15:08.500000,,Men 1500 Freestyle,GYURTA Gergely,HUN,2020,908.5
26,0 days 00:15:08.630000,,Men 1500 Freestyle,KALMAR Akos,HUN,2020,908.63
27,0 days 00:15:09.050000,,Men 1500 Freestyle,MICKA Jan,CZE,2020,909.05
28,0 days 00:15:09.140000,,Men 1500 Freestyle,FINKE Bobby,USA,2020,909.14
29,0 days 00:15:09.350000,,Men 1500 Freestyle,JERVIS Daniel,GBR,2020,909.35
30,0 days 00:15:09.530000,,Men 1500 Freestyle,SCHWARZ Sven,GER,2020,909.53
31,0 days 00:15:09.790000,,Men 1500 Freestyle,NGUYEN Huy Hoang,VIE,2020,909.79
32,0 days 00:15:09.950000,,Men 1500 Freestyle,TAKEDA Shogo,JPN,2020,909.95
33,0 days 00:15:10.180000,,Men 1500 Freestyle,NORGAARD Alexander,DEN,2020,910.18
34,0 days 00:15:10.280000,,Men 1500 Freestyle,GYURTA Gergely,HUN,2020,910.28
35,0 days 00:15:10.540000,,Men 1500 Freestyle,YOSHIDA Atsuya,JPN,2020,910.54
36,0 days 00:15:10.930000,,Men 1500 Freestyle,SLOMAN Nicholas,AUS,2020,910.93
37,0 days 00:15:10.940000,,Men 1500 Freestyle,KATZ Arik,USA,2020,910.94
38,0 days 00:15:11.920000,,Men 1500 Freestyle,OZAKI Kenta,JPN,2020,911.92
39,0 days 00:15:12.490000,,Men 1500 Freestyle,WILIMOVSKY Jordan,USA,2020,912.49
40,0 days 00:15:12.570000,,Men 1500 Freestyle,JOLY Damien,FRA,2020,912.57
41,0 days 00:15:13.370000,,Men 1500 Freestyle,ZHANG Ziyang,CHN,2020,913.37
42,0 days 00:15:14.130000,,Men 1500 Freestyle,ESCRITS MANOSA Albert,ESP,2020,914.13
43,0 days 00:15:14.580000,,Men 1500 Freestyle,BOUCHAUT Joris,FRA,2020,914.58
44,0 days 00:15:15.260000,,Men 1500 Freestyle,IMOTO Ikki,JPN,2020,915.26
45,0 days 00:15:16.250000,,Men 1500 Freestyle,RASOVSZKY Kristof,HUN,2020,916.25
46,0 days 00:15:16.560000,,Men 1500 Freestyle,AKARAM Ahmed,EGY,2020,916.56
47,0 days 00:15:17.190000,,Men 1500 Freestyle,NAKAJIMA Ryo,JPN,2020,917.19
48,0 days 00:15:17.420000,,Men 1500 Freestyle,HAFNAOUI Ahmed,TUN,2020,917.42
49,0 days 00:15:17.440000,,Men 1500 Freestyle,SHOIKE Tatsuki,JPN,2020,917.44
50,0 days 00:15:17.530000,,Men 1500 Freestyle,MAKSUMOV Ernest,RUS,2020,917.53
1,0 days 00:03:56.690000,"[0, 512]",Women 400 Freestyle,TITMUS Ariarne,AUS,2021,236.69
2,0 days 00:03:56.900000,"[0, 512]",Women 400 Freestyle,TITMUS Ariarne,AUS,2021,236.9
